KOI,Dur,Depth,SNR,t0,t0_unc,Period,P_unc,a/R*,a/R*_unc,r/R*,r/R*_unc,b,b_unc,Rp,a,Teq,EB prob,V,FOP,N,
1.01,1.7952,13140,2062,55.76258,0.00004,2.4706131,0.0000004,8.519,0.082,0.12429,0.00029,0.816,0.067,20.3,0.037,1603,1.4E-06,1,,1,
2.01,3.9107,6205,2413,54.35781,0.00005,2.2047355,0.0000004,4.152,0.041,0.07931,0.00012,0.51,0.1,11.6,0.037,1743,2.4E-06,1,,1,
3.01,2.3607,3873,328,57.81227,0.00033,4.8878177,0.0000089,16.1,9.1,0.0577,0.0073,0.29,0.86,4.8,0.05,796,2.0E-06,1,,1,
4.01,2.3866,1099,136,90.5261,0.00055,3.84937,0.000014,10,24,0.034,0.015,0.7,1.4,4.0,0.05,1242,-,3,,1,
5.01,2.0326,876,263,65.9735,0.00025,4.7803247,0.0000058,7.3,2.2,0.03707,0.0002,0.91,0.27,7.0,0.059,1376,-,3,,1,
7.01,3.6234,683,231,56.61126,0.00041,3.213682,0.000011,3.94,0.56,0.02911,0.00069,0.86,0.23,3.7,0.044,1290,9.5E-06,1,,1,
10.01,3.2860,8686,237,54.11809,0.00062,3.522297,0.00008,8.15,0.34,0.09138,0.00071,0.53,0.21,10.5,0.047,1287,6.5E-06,1,,1,
12.01,7.4343,8559,604,79.59772,0.00038,17.855038,0.000038,19.9,0.025,0.0874,0.0001,0.0003,-,12.6,0.141,868,9.4E-06,3,NoObs,1,
13.01,3.2029,4286,1147,53.56498,0.00012,1.7635892,0.0000014,4.51,0.2,0.07695,0.00043,0.26,0.24,20.5,0.035,3257,1.8E-06,2,"2,3",1,
17.01,3.9011,9939,724,54.48575,0.00007,3.2347003,0.0000012,6.9639,0.0036,0.09467,0.00004,-,-,9.4,0.041,1192,1.6E-05,1,,1,
18.01,4.6271,6690,496,55.90127,0.00022,3.548461,0.000033,6.7257,0.0047,0.0788,0.00005,0.0001,-,8.2,0.045,1180,3.3E-05,1,,1,
20.01,4.7062,15524,2001,104.00835,0.00006,4.4379643,0.0000013,8.0762,0.0038,0.11678,0.00004,0.0001,-,12.8,0.054,1145,4.8E-06,2,"1,2,3",,
22.01,4.3233,9783,1098,110.24939,0.00011,7.8914455,0.0000059,15.471,0.013,0.09222,0.00006,0.0271,-,9.4,0.079,890,5.3E-06,2,"1,2,3",,
41.01,6.3192,206,44,55.9589,0.0042,12.81521,0.00029,15.67,0.24,0.01353,0.00019,0.001,0.01,1.4,0.109,741,3.6E-05,2,"1,2,3,4",,
42.01,4.4845,231,34,114.235,0.018,17.8328,0.0022,21.8612,0.0027,0.01721,-,0.6978,-,2.6,0.14,834,6.1E-06,2,"1,3",,
44.01,14.0968,2543,67,93.395,0.013,66.5126,0.007,17.3,1.2,0.0782,0.0013,0.83,0.17,7.5,0.304,412,-,2,,1,
46.01,3.8313,1241,145,103.931,0.00083,3.487714,0.000028,7.241,0.044,0.03279,0.00016,0.0021,-,3.2,0.043,1117,1.1E-05,2,1,,
49.01,3.6652,1026,17,108.99,0.0053,8.31393,0.00041,19,1.1,0.0266,0.0014,0.03,0.072,2.8,0.079,906,3.4E-05,2,1,,
51.01,3.3759,24059,275,66.93528,0.00052,10.431147,0.00002,21.1,6.3,0.16271,0.00076,0.56,0.17,4.8,0.056,314,NaN,3,,1,
63.01,2.9910,3783,97,110.8421,0.0015,9.434152,0.000098,27.57,0.63,0.0566,0.001,0.025,0.036,6.6,0.089,844,5.3E-06,2,3,1,
64.01,1.6811,1127,132,90.54051,0.00046,1.9510939,0.0000057,4.4,1.3,0.04,0.00034,0.84,0.25,8.5,0.032,1760,4.3E-05,3,"1,2,3,4",1,
69.01,2.8948,248,138,67.92512,0.00069,4.726745,0.000018,12.706,0.084,0.01465,0.00008,0,0.014,1.6,0.056,1036,-,3,,1,
70.01,3.7978,946,135,71.60857,0.00081,10.854042,0.000039,20,18,0.0297,0.0054,0.49,1,2.3,0.094,643,1.7E-05,2,"1,2,3",,
70.02,2.4785,345,58,67.5005,0.0011,3.696125,0.000017,6.2,9.6,0.0209,0.0055,0.85,0.78,1.6,0.046,919,2.3E-05,2,"1,3",,
70.03,7.2380,731,34,97.729,0.01,77.609,0.0063,83.39,0.99,0.02575,0.00033,0.198,0.035,2.0,0.35,333,1.9E-05,2,"1,2,3",,
70.04,2.7697,68,15,68.93,0.0055,6.09852,0.00014,16,95,0.0079,0.0087,0.4,2.7,0.6,0.064,779,3.4E-05,2,,,
72.01,1.8200,169,101,64.57364,0.0007,0.8374958,0.0000042,3.609,0.035,0.01211,0.00009,0.029,0.027,1.3,0.018,1790,1.0E-05,1,"1,2,3",1,
72.02,6.8565,425,74,71.676,0.0021,45.29491,0.00069,35,38,0.0214,0.0042,0.73,0.84,2.3,0.252,478,8.1E-06,2,"1,2",,
75.01,17.4137,1175,165,89.9691,0.0019,105.8885,0.0014,47.1,2.3,0.0362,0.0012,0.01,0.23,4.3,0.449,391,-,2,,,
