Motive Confirmed,,,,,,,,,,,,,,,,,
,Date,Name,Sex,Country Killed,Organization,Nationality,Medium,Job,Coverage,Freelance,Local/Foreign,Source of Fire,Type of Death,Impunity (for Murder),Taken Captive,Threatened,"Tortured
"
,"June 26, 2010",Jean-Léonard Rugambage,Male,Rwanda,Umuvugizi,Rwanda,"Print, Radio","Editor, Internet Reporter, Print Reporter",Politics,No,Local,"Government Officials, Military Officials",Murder,Yes,No,Yes,"No
"
,"June 24, 2010",James P. Hunter,Male,Afghanistan,"Fort Campbell Courier, U.S. military publications",American,Print,"Photographer, Print Reporter",War,No,Foreign,Political Group,Crossfire/Combat-Related,,No,No,"No
"
,"May 28, 2010",Ejazul Haq,Male,Pakistan,City-42 TV,Pakistan,Television,"Broadcast, Technician",War,No,Local,Unknown Fire,Dangerous Assignment,,,,"
"
,"May 19, 2010",Fabio Polenghi,Male,Thailand,freelance,Italy,Print,Photographer,"Culture, War",Yes,Foreign,Unknown Fire,Dangerous Assignment,,,,"
"
,May 9 or 10,Ghulam Rasool Birhamani,Male,Pakistan,Daily Sindhu Hyderabad ,Pakistani,Print,Print Reporter,Culture,No,Local,Mob Violence,Murder,Yes,Yes,Yes,"Yes
"
,"May  6, 2010",Sardasht Osman,Male,Iraq,freelance,Iraq,"Print, Radio","Internet Reporter, Print Reporter",Corruption,Yes,Local,Government Officials,Murder,Yes,Yes,Yes,"No
"
,"May  4, 2010",Sheikh Nur Mohamed Abkey,Male,Somalia,Radio Mogadishu,Somalia,Radio,Producer,"Culture, War",No,Local,Political Group,Murder,Yes,Yes,Yes,"Yes
"
,"April 24, 2010",Sunday Gyang Bwede,Male,Nigeria,The Light Bearer,Nigeria,Print,Print Reporter,"Culture, Politics",No,Local,Mob Violence,Murder,Yes,,,"
"
,"April 24, 2010",Nathan S. Dabak,Male,Nigeria,The Light Bearer,Nigeria,Print,Editor,"Culture, Politics",No,Local,Mob Violence,Murder,Yes,,,"
"
,"April 22, 2010",Germain Cyrille Ngota Ngota,Male,Cameroon,Cameroon Express,Cameroon,Print,Editor,"Corruption, Politics",No,Local,Government Officials,Dangerous Assignment,,,,"
"
,"April 17, 2010",Azamat Ali Bangash,Male,Pakistan,Samaa TV,Pakistani,Television,"Broadcast, Internet Reporter",,,Local,Political Group,Crossfire/Combat-Related,,No,No,"No
"
,"April 16, 2010",Malik Arif,Male,Pakistan,Samaa TV,Pakistani,Television,Camera Operator,,No,Local,Unknown Fire,Crossfire/Combat-Related,,No,No,"No
"
,"April 10, 2010",Hiro Muramoto,Male,Thailand,Reuters,Japan,"Television, Radio",Camera Operator,Politics,No,Foreign,Unknown Fire,Dangerous Assignment,,,,"
"
,"March 19, 2010",Clodomiro Castilla Ospino,Male,Colombia,El Pulso del Tiempo,Colombian,Print,"Editor, Publisher","Corruption, Crime, Human Rights, Politics",No,Local,Unknown Fire,Murder,Yes,No,Yes,"No
"
,"February 13, 2010",Muhammad al-Rabou'e,Male,Yemen,Al-Qahira,Yemeni,Print,Print Reporter,Corruption,No,Local,Criminal Group,Murder,Partial,No,Yes,"No
"
,"January 10, 2010",Rupert Hamer,Male,Afghanistan,Sunday Mirror,British,Print,Print Reporter,War,No,Foreign,Political Group,Crossfire/Combat-Related,,,,"
"
,"January  9, 2010",Stanislas Ocloo,Male,Angola,Télévision Togolaise,Togo,Television,"Broadcast, Columnist",Sports,Yes,Foreign,Political Group,Crossfire/Combat-Related,,,,"
"
,"January  8, 2010",Valentín Valdés Espinosa,Male,Mexico,Zócalo de Saltillo,Mexico,Print,Print Reporter,"Corruption, Crime, Politics",No,Local,Criminal Group,Murder,Yes,Yes,No,"Yes
"
,"December 30, 2009",Michelle Lang,Female,Afghanistan,Calgary Herald and Canwest News Service,Canada,Print,Print Reporter,War,No,Foreign,Political Group,Crossfire/Combat-Related,,,,"
"
,"December 19, 2009",Cihan Hayırsevener,Male,Turkey,Güney Marmara’da Ya?am,Turkey,Print,"Editor, Publisher",Corruption,No,Local,Criminal Group,Murder,Yes,No,Yes,"No
"
,"December  3, 2009",Abdulkhafar Abdulkadir,Male,Somalia,freelance,Somalia,Print,Photographer,"Culture, War",Yes,Local,Political Group,Crossfire/Combat-Related,,,,"
"
,"December  3, 2009",Mohamed Amin,Male,Somalia,Radio Shabelle,Somalia,Radio,Broadcast,"Culture, War",No,Local,Political Group,Crossfire/Combat-Related,,,,"
"
,"December  3, 2009",Hassan Zubeyr,Male,Somalia,Al-Arabiya,Somalia,Television,Camera Operator,"Culture, War",No,Local,Political Group,Crossfire/Combat-Related,,,,"
"
,"November 23, 2009",Henry Araneta,Male,Philippines,DZRH,Philippine,Radio,Broadcast,Politics,No,Local,Government Officials,Murder,Yes,Yes,No,"Yes
"
,"November 23, 2009",Mark Gilbert Arriola,Male,Philippines,UNTV,Philippine,Television,Camera Operator,Politics,No,Local,Government Officials,Murder,Yes,Yes,No,"Yes
"
,"November 23, 2009",Rubello Bataluna,Male,Philippines,Gold Star Daily,Philippine,Print,Print Reporter,Politics,No,Local,Government Officials,Murder,Yes,Yes,No,"Yes
"
,"November 23, 2009",Arturo Betia,Male,Philippines,Periodico Ini,Philippine,Print,Print Reporter,Politics,No,Local,Government Officials,Murder,Yes,Yes,No,"Yes
"
